Date,Time(UTC),Wind_speed(Knot),Type
2023-02-15,14:04:48,21.11887,Wind shear
2023-02-15,14:04:58,17.07620,Wind shear
2023-02-15,14:05:08,16.54978,Wind shear
2023-02-15,14:05:18,16.25024,Wind shear
2023-02-15,14:05:28,18.77481,Wind shear
2023-02-15,14:05:38,18.40125,Wind shear
2023-02-15,14:41:18,15.51641,Wind shear
2023-03-20,04:08:48,19.04627,Wind shear
2023-03-20,04:08:58,19.37462,Wind shear
2023-03-20,04:09:08,18.90052,Wind shear
2023-03-20,04:09:18,17.82575,Wind shear
2023-03-20,04:09:28,15.98725,Wind shear
2023-03-20,04:12:18,18.28852,Wind shear
2023-03-20,04:12:28,17.83349,Wind shear
2023-03-20,04:12:38,16.57636,Wind shear
2023-04-20,10:05:19,17.29749,Wind shear
2023-04-20,10:06:59,22.89629,Wind shear
2023-04-20,10:07:09,22.21780,Wind shear
2023-04-20,10:07:19,22.20082,Wind shear
2023-04-20,10:07:29,21.67299,Wind shear
2023-04-20,10:07:39,20.95593,Wind shear
2023-04-20,10:07:49,20.43597,Wind shear
2023-04-20,10:07:59,21.44541,Wind shear
2023-04-20,10:08:09,21.81064,Wind shear
2023-04-20,10:08:19,21.61193,Wind shear
2023-04-20,10:08:29,21.55047,Wind shear
2023-04-20,10:08:39,21.24506,Wind shear
2023-04-20,10:08:49,22.82810,Wind shear
2023-04-20,10:08:59,23.62417,Wind shear
2023-04-20,10:09:09,30.78455,Microburst
2023-04-20,10:09:19,30.11330,Microburst
2023-04-20,10:09:29,24.39497,Wind shear
2023-04-20,10:09:39,24.57861,Wind shear
2023-04-20,10:09:49,25.32202,Wind shear
2023-04-20,10:09:59,24.47544,Wind shear
2023-04-20,10:10:09,23.82405,Wind shear
2023-04-20,10:10:19,21.44649,Wind shear
2023-04-20,10:10:29,20.87908,Wind shear
2023-04-20,10:10:38,21.80623,Wind shear
2023-04-20,10:10:49,24.97610,Wind shear
2023-04-20,10:10:59,30.64316,Microburst
2023-04-20,10:11:09,32.57882,Microburst
2023-04-20,10:11:19,33.33802,Microburst
2023-04-20,10:11:29,32.70265,Microburst
2023-04-20,10:11:39,32.31896,Microburst
2023-04-20,10:11:49,34.61719,Microburst
2023-04-20,10:11:59,37.24310,Microburst
2023-04-20,10:12:09,40.90200,Microburst
2023-04-20,10:12:19,40.67764,Microburst
2023-04-20,10:12:29,39.75398,Microburst
2023-04-20,10:12:39,41.04815,Microburst
2023-04-20,10:12:49,42.78778,Microburst
2023-04-20,10:12:59,36.33468,Microburst
2023-04-20,10:13:09,32.95434,Microburst
2023-04-20,10:13:19,35.73755,Microburst
2023-04-20,10:13:29,36.92577,Microburst
2023-04-20,10:13:39,38.62645,Microburst
2023-04-20,10:13:49,40.55244,Microburst
2023-04-20,10:13:59,40.60887,Microburst
2023-04-20,10:14:09,39.36952,Microburst
2023-04-20,10:14:19,42.63283,Microburst
2023-04-20,10:14:29,42.40053,Microburst
2023-04-20,10:14:38,41.58861,Microburst
2023-04-20,10:14:49,38.09699,Microburst
2023-04-20,10:14:59,35.72377,Microburst
2023-04-20,10:15:09,33.85610,Microburst
2023-04-20,10:15:19,36.10814,Microburst
2023-04-20,10:15:29,36.63021,Microburst
2023-04-20,10:15:39,36.95178,Microburst
2023-04-20,10:15:49,27.17638,Wind shear
2023-04-20,10:15:59,30.76048,Microburst
2023-04-20,10:16:09,22.74592,Wind shear
2023-04-20,10:16:19,32.86416,Microburst
2023-04-20,10:16:29,35.90185,Microburst
2023-04-20,10:16:39,35.54810,Microburst
2023-04-20,10:16:49,37.79020,Microburst
2023-04-20,10:16:59,42.05926,Microburst
2023-04-20,10:17:09,43.51756,Microburst
2023-04-20,10:17:18,43.59053,Microburst
2023-04-20,10:17:29,40.96469,Microburst
2023-04-20,10:17:39,39.48392,Microburst
2023-04-20,10:17:49,39.18847,Microburst
2023-04-20,10:17:59,42.23256,Microburst
2023-04-20,10:18:09,42.46995,Microburst
2023-04-20,10:18:19,42.50440,Microburst
2023-04-20,10:18:29,41.89111,Microburst
2023-04-20,10:18:39,42.03411,Microburst
2023-04-20,10:18:49,44.71681,Microburst
2023-04-20,10:18:59,38.48419,Microburst
2023-04-20,10:19:09,35.06526,Microburst
2023-04-20,10:19:19,37.77802,Microburst
2023-04-20,10:19:29,22.79288,Wind shear
2023-04-20,10:20:49,24.75082,Wind shear
